id	vocabulary_code	concept_a	concept_b	pos_a	pos_b	words_a_english	gloss_a_english	words_b_english	gloss_b_english	words_a_target	gloss_a_target	words_b_target	gloss_b_target	word_a	word_b	relation
11	hin	21186	64121	noun	noun	photograph; photo; exposure; pic; 	a picture of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material	photography; 	the process of producing images of objects on photosensitive surfaces	फ़ोटो; तस्वीर; चित्र; 	NO_GLOSS	छायाचित्र; फ़ोटोग्राफ़ी; 	NO_GLOSS	फ़ोटो	फ़ोटोग्राफ़ी	DERIVATIONALLY_RELATED_FORM
12	hin	21186	64121	noun	noun	photograph; photo; exposure; pic; 	a picture of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material	photography; 	the process of producing images of objects on photosensitive surfaces	फ़ोटो; तस्वीर; चित्र; 	NO_GLOSS	छायाचित्र; फ़ोटोग्राफ़ी; 	NO_GLOSS	चित्र	छायाचित्र	DERIVATIONALLY_RELATED_FORM
13	hin	50312	53751	noun	noun	husband; hubby; married man; 	a married man; a woman's partner in marriage	wife; married woman; 	a married woman; a man's partner in marriage	पति; शौहर; 	NO_GLOSS	पत्नी; बीवी; 	NO_GLOSS	पति	पत्नी	ANTONYM
14	hin	30604	78991	noun	adjective	mystery; enigma; secret; closed book; 	something that baffles understanding and cannot be explained	mysterious; mystic; mystical; occult; secret; orphic; 	having an import not apparent to the senses nor obvious to the intelligence; beyond ordinary understanding	रहस्य; 	NO_GLOSS	रहस्यपूर्ण; गूढ; 	NO_GLOSS	रहस्य	रहस्यपूर्ण	DERIVATIONALLY_RELATED_FORM
15	hin	36208	92763	noun	verb	smile; smiling; grin; grinning; 	a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement	smile; 	change one's facial expression by spreading the lips, often to signal pleasure	मुस्कान; मुसकुराहट; स्मित; 	NO_GLOSS	मुस्कान; मुस्कराना; 	NO_GLOSS	मुस्कान	मुस्कान	DERIVATIONALLY_RELATED_FORM
16	hin	36208	92763	noun	verb	smile; smiling; grin; grinning; 	a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement	smile; 	change one's facial expression by spreading the lips, often to signal pleasure	मुस्कान; मुसकुराहट; स्मित; 	NO_GLOSS	मुस्कान; मुस्कराना; 	NO_GLOSS	मुस्कान	मुस्कराना	DERIVATIONALLY_RELATED_FORM
17	hin	49598	51131	noun	noun	father; male parent; begetter; 	a male parent (also used as a term of address to your father)	mother; female parent; 	a woman who has given birth to a child (also used as a term of address to your mother)	पिता; वालिद; बाप; पिदर; 	NO_GLOSS	माता; मां; मादर; वालिदा; 	NO_GLOSS	पिता	माता	ANTONYM
18	hin	49598	51131	noun	noun	father; male parent; begetter; 	a male parent (also used as a term of address to your father)	mother; female parent; 	a woman who has given birth to a child (also used as a term of address to your mother)	पिता; वालिद; बाप; पिदर; 	NO_GLOSS	माता; मां; मादर; वालिदा; 	NO_GLOSS	वालिद	वालिदा	ANTONYM
19	hin	49598	51131	noun	noun	father; male parent; begetter; 	a male parent (also used as a term of address to your father)	mother; female parent; 	a woman who has given birth to a child (also used as a term of address to your mother)	पिता; वालिद; बाप; पिदर; 	NO_GLOSS	माता; मां; मादर; वालिदा; 	NO_GLOSS	पिदर	मादर	ANTONYM
20	hin	30235	75759	noun	adjective	caution; precaution; care; forethought; 	judiciousness in avoiding harm or danger	cautious; 	showing careful forethought	सावधानी; 	NO_GLOSS	सावधान; सतर्क; 	NO_GLOSS	सावधानी	सावधान	DERIVATIONALLY_RELATED_FORM
21	hin	30956	95580	noun	verb	study; work; 	applying the mind to learning and understanding a subject (especially by reading)	learn; study; read; take; 	be a student of a certain subject	पढ़ाई; 	NO_GLOSS	पढ़ना; 	NO_GLOSS	पढ़ाई	पढ़ना	DERIVATIONALLY_RELATED_FORM
22	hin	39199	102628	noun	verb	meeting; encounter; 	a casual or unexpected convergence	meet; run into; encounter; run across; come across; see; 	come together	मिलन; 	NO_GLOSS	मिलना; 	NO_GLOSS	मिलन	मिलना	DERIVATIONALLY_RELATED_FORM
23	hin	26960	75994	noun	adjective	blue; blueness; 	blue color or pigment; resembling the color of the clear sky in the daytime	blue; bluish; blueish; 	of the color intermediate between green and violet; having a color similar to that of a clear unclouded sky	नीला; 	NO_GLOSS	नीला; नीली; 	NO_GLOSS	नीला	नीला	DERIVATIONALLY_RELATED_FORM
24	hin	26960	75994	noun	adjective	blue; blueness; 	blue color or pigment; resembling the color of the clear sky in the daytime	blue; bluish; blueish; 	of the color intermediate between green and violet; having a color similar to that of a clear unclouded sky	नीला; 	NO_GLOSS	नीला; नीली; 	NO_GLOSS	नीला	नीली	DERIVATIONALLY_RELATED_FORM
25	hin	66659	80395	noun	adjective	happiness; felicity; 	state of well-being characterized by emotions ranging from contentment to intense joy	happy; 	enjoying or showing or marked by joy or pleasure or good fortune	ख़ुशी; 	NO_GLOSS	सुखी; ख़ुश; प्रसन्न; 	NO_GLOSS	ख़ुशी	ख़ुश	DERIVATIONALLY_RELATED_FORM
26	hin	25672	78180	noun	adjective	difficulty; difficultness; 	the quality of being difficult	difficult; hard; 	not easy; requiring great physical or mental effort to accomplish or comprehend or endure	कठिनाई; मुसीबत; 	NO_GLOSS	कठिन; मुश्किल; विकट; 	NO_GLOSS	कठिनाई	कठिन	DERIVATIONALLY_RELATED_FORM
27	hin	39768	74521	noun	adjective	anger; choler; ire; 	a strong emotion; a feeling that is oriented toward some real or supposed grievance	angry; 	feeling or showing anger	क्रोध; 	NO_GLOSS	रूठा; क्रोधित; 	NO_GLOSS	क्रोध	क्रोधित	DERIVATIONALLY_RELATED_FORM
28	hin	4829	97853	noun	verb	battle; conflict; fight; engagement; 	a hostile meeting of opposing military forces in the course of a war	contend; fight; struggle; 	be engaged in a fight; carry on a fight	युद्ध; लड़ाई; झगड़ा; 	NO_GLOSS	लड़ना; झगड़ना; 	NO_GLOSS	लड़ाई	लड़ना	DERIVATIONALLY_RELATED_FORM
29	hin	4829	97853	noun	verb	battle; conflict; fight; engagement; 	a hostile meeting of opposing military forces in the course of a war	contend; fight; struggle; 	be engaged in a fight; carry on a fight	युद्ध; लड़ाई; झगड़ा; 	NO_GLOSS	लड़ना; झगड़ना; 	NO_GLOSS	झगड़ा	झगड़ना	DERIVATIONALLY_RELATED_FORM
30	hin	49100	52781	noun	noun	daughter; girl; 	a female human offspring	son; boy; 	a male human offspring	बेटी; लड़की; पुत्री; 	NO_GLOSS	बेटा; 	NO_GLOSS	बेटी	बेटा	ANTONYM
31	hin	1350	52704	noun	noun	sleepwalking; somnambulism; somnambulation; noctambulism; noctambulation; 	walking by a person who is asleep	sleepwalker; somnambulist; noctambulist; 	someone who walks about in their sleep	निद्राचार; 	NO_GLOSS	निद्राचारी; 	NO_GLOSS	निद्राचार	निद्राचारी	DERIVATIONALLY_RELATED_FORM
32	hin	5858	52072	noun	noun	racism; racialism; racial discrimination; 	discriminatory or abusive behavior towards members of another race	racist; racialist; 	a person with a prejudiced belief that one race is superior to others	जातिवाद; 	NO_GLOSS	जातिवादी; 	NO_GLOSS	जातिवाद	जातिवादी	DERIVATIONALLY_RELATED_FORM
33	hin	1428	53335	noun	noun	tourism; touristry; 	the business of providing services to tourists	tourist; tourer; holidaymaker; 	someone who travels for pleasure	पर्यटन; टूरिज़्म; 	NO_GLOSS	पर्यटक; टूरिस्ट; 	NO_GLOSS	पर्यटन	पर्यटक	DERIVATIONALLY_RELATED_FORM
34	hin	7	33366	noun	noun	antonym; opposite word; opposite; 	a word that expresses a meaning opposed to the meaning of another word, in which case the two words are antonyms of each other	synonym; equivalent word; 	two words that can be interchanged in a context are said to be synonymous relative to that context	विपर्याय; विपरीतार्थी शब्द; विलोम; 	NO_GLOSS	पर्याय; पर्यायवाची; समानार्थी शब्द; 	NO_GLOSS	विपर्याय	पर्याय	ANTONYM
35	hin	27179	82304	noun	adjective	maleness; masculinity; 	the properties characteristic of the male sex	masculine; 	associated with men and not with women	मर्दानगी; 	NO_GLOSS	मर्दाना; 	NO_GLOSS	मर्दानगी	मर्दाना	DERIVATIONALLY_RELATED_FORM
36	hin	30243	81427	noun	adjective	intelligence; 	the ability to comprehend; to understand and profit from experience	intelligent; 	having the capacity for thought and reason especially to a high degree	बुद्धि; 	NO_GLOSS	बुद्धिमान; चतुर; 	NO_GLOSS	बुद्धि	बुद्धिमान	DERIVATIONALLY_RELATED_FORM
37	hin	32033	48060	noun	noun	atheism; 	a lack of belief in the existence of God or gods	atheist; 	someone who denies the existence of god	नास्तिकता; 	NO_GLOSS	नास्तिक; 	NO_GLOSS	नास्तिकता	नास्तिक	DERIVATIONALLY_RELATED_FORM
38	hin	37122	51179	noun	noun	music; 	an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner	musician; 	artist who composes or conducts music as a profession	संगीत; 	NO_GLOSS	संगीतकार; 	NO_GLOSS	संगीत	संगीतकार	DERIVATIONALLY_RELATED_FORM
39	hin	44618	50530	noun	noun	kingdom; 	a monarchy with a king or queen as head of state	king; male monarch; rex; 	a male sovereign; ruler of a kingdom	राज्य; 	NO_GLOSS	राजा; बादशाह; 	NO_GLOSS	राज्य	राजा	DERIVATIONALLY_RELATED_FORM
40	hin	46879	69004	noun	noun	adult; grownup; 	a fully developed person from maturity onward	adulthood; 	the state (and responsibilities) of a person who has attained maturity	वयस्क; 	NO_GLOSS	वयस्कता; 	NO_GLOSS	वयस्क	वयस्कता	DERIVATIONALLY_RELATED_FORM
41	hin	51778	65888	noun	noun	politician; politico; pol; political leader; 	a person active in party politics	politics; political relation; 	social relations involving authority or power	राजनीतिज्ञ; 	NO_GLOSS	राजनीति; 	NO_GLOSS	राजनीतिज्ञ	राजनीति	DERIVATIONALLY_RELATED_FORM
42	hin	52102	105272	noun	verb	raper; rapist; 	someone who forces another to have sexual intercourse	rape; ravish; violate; assault; dishonor; dishonour; outrage; 	force  (someone) to have sex against their will	बलात्कारी; 	NO_GLOSS	बलात्कार; 	NO_GLOSS	बलात्कारी	बलात्कार	DERIVATIONALLY_RELATED_FORM
43	hin	52644	101175	noun	verb	singer; vocalist; vocalizer; vocaliser; 	a person who sings	sing; 	produce tones with the voice	गायक; गायिका; 	NO_GLOSS	गाना; 	NO_GLOSS	गायक	गाना	DERIVATIONALLY_RELATED_FORM
44	hin	52644	101175	noun	verb	singer; vocalist; vocalizer; vocaliser; 	a person who sings	sing; 	produce tones with the voice	गायक; गायिका; 	NO_GLOSS	गाना; 	NO_GLOSS	गायिका	गाना	DERIVATIONALLY_RELATED_FORM
45	hin	27567	76459	noun	adjective	distance; 	the property created by the space between two objects or points	distant; remote; 	apart in space	दूरी; फ़ासला; 	NO_GLOSS	दूर; 	NO_GLOSS	दूरी	दूर	DERIVATIONALLY_RELATED_FORM
46	hin	84265	84273	adjective	adjective	possible; 	capable of happening or existing	impossible; 	not capable of occurring or being accomplished or dealt with	संभव; मुमकिन; 	NO_GLOSS	असंभव; असम्भव; नामुमकिन; अनहोनी; 	NO_GLOSS	संभव	असंभव	ANTONYM
47	hin	84265	84273	adjective	adjective	possible; 	capable of happening or existing	impossible; 	not capable of occurring or being accomplished or dealt with	संभव; मुमकिन; 	NO_GLOSS	असंभव; असम्भव; नामुमकिन; अनहोनी; 	NO_GLOSS	मुमकिन	नामुमकिन	ANTONYM
48	hin	41676	79977	noun	adjective	salt; table salt; common salt; 	white crystalline form of especially sodium chloride used to season and preserve food	salty; 	containing or filled with salt	नमक; 	NO_GLOSS	नमकीन; 	NO_GLOSS	नमक	नमकीन	DERIVATIONALLY_RELATED_FORM
49	hin	49794	66371	noun	noun	friend; 	a person you know well and regard with affection and trust	friendship; friendly relationship; 	the state of being friends	दोस्त; मित्र; साथी; सखा; 	NO_GLOSS	दोस्ती; मित्रता; 	NO_GLOSS	दोस्त	दोस्ती	DERIVATIONALLY_RELATED_FORM
50	hin	49794	66371	noun	noun	friend; 	a person you know well and regard with affection and trust	friendship; friendly relationship; 	the state of being friends	दोस्त; मित्र; साथी; सखा; 	NO_GLOSS	दोस्ती; मित्रता; 	NO_GLOSS	मित्र	मित्रता	DERIVATIONALLY_RELATED_FORM
51	hin	27910	86645	noun	adjective	proficiency; 	the quality of having great facility and competence	adept; expert; good; practiced; proficient; skillful; skilful; 	having or showing knowledge and skill and aptitude	प्रवीणता; 	NO_GLOSS	माहिर; प्रवीण; 	NO_GLOSS	प्रवीणता	प्रवीण	DERIVATIONALLY_RELATED_FORM
52	hin	68653	92654	noun	verb	cough; coughing; 	sudden expulsion of air from the lungs that clears the air passages; a common symptom of upper respiratory infection or bronchitis or pneumonia or tuberculosis	cough; 	exhale abruptly, as when one has a chest cold or congestion	खांसी; 	NO_GLOSS	खांसना; 	NO_GLOSS	खांसी	खांसना	DERIVATIONALLY_RELATED_FORM
53	hin	69177	76547	noun	adjective	nakedness; nudity; nudeness; 	the state of being without clothing or covering of any kind	bare; au naturel; naked; nude; 	completely unclothed	नंगापन; 	NO_GLOSS	नंगा; नग्न; 	NO_GLOSS	नंगापन	नंगा	DERIVATIONALLY_RELATED_FORM
54	hin	66933	81068	noun	adjective	thirst; thirstiness; 	a physiological need to drink	thirsty; 	feeling a need or desire to drink	प्यास; 	NO_GLOSS	प्यासा; 	NO_GLOSS	प्यास	प्यासा	DERIVATIONALLY_RELATED_FORM
55	hin	79433	107368	adjective	adverb	slow; 	not moving quickly; taking a comparatively long time	slowly; slow; easy; tardily; 	without speed (`slow' is sometimes used informally for `slowly')	धीमा; सुस्त; 	NO_GLOSS	आहिस्ता; धीरे; धीरे-धीरे; 	NO_GLOSS	धीमा	धीरे	PERTAINYM
